"expensesId","expenses_fk_categoryId","expenseReason","expenseAmount","expenseDate","createdBy_fk_userId","approvedBy_fk_userId","softDelete"
"1","13","AR 236AT Solomon","15000.00","2020-05-12","1017","0","0"
"2","11","fuel","5500.00","2020-05-12","1017","0","0"
"3","12","fuel for generator","10000.00","2020-05-12","1017","0","0"
"4","2","Refund of thermal printer","12000.00","2020-05-12","1017","0","0"
"5","14","Bag for shop","1400.00","2020-05-12","1017","0","0"
"6","6","Recharge card","500.00","2020-05-13","1017","0","0"
"7","3","Dry cleaner","3000.00","2020-05-13","1017","0","0"
"8","5","Director","13000.00","2020-05-13","1017","0","0"
"9","14","Toilet tissue","200.00","2020-05-14","1017","0","0"
"10","2","Refund of original windows 10","34800.00","2020-05-14","1017","0","0"
"11","2","Refund of brown paper","2500.00","2020-05-14","1017","0","0"
"12","6","Recharge card","500.00","2020-05-16","1017","0","0"
"13","14","Generator oil","1000.00","2020-05-16","1017","0","0"
"14","11","Tyre","1000.00","2020-05-16","1017","0","0"
"15","3","Dry cleaner","2500.00","2020-05-16","1017","0","0"
"16","5","Fish","11500.00","2020-05-16","1017","0","0"
"17","5","Transport for bank","50.00","2020-05-18","1017","0","0"
"18","2","Refund of 652 ink","5500.00","2020-05-18","1017","0","0"
"19","2","Refund of paper","1400.00","2020-05-18","1017","0","0"
"20","2","Refund of external CDmm","10000.00","2020-05-18","1017","0","0"
"21","3","Dry cleaner","1500.00","2020-05-18","1017","0","0"
"22","5","Transport for bank","50.00","2020-05-19","1017","0","0"
"23","11","Transport","200.00","2020-05-19","1017","0","0"
"24","5","Mechanic","1500.00","2020-05-19","1017","0","0"
"25","5","Director","7000.00","2020-05-19","1017","0","0"
"26","5","Director","60000.00","2020-05-19","1017","0","0"
"27","10","Detergent","900.00","2020-05-20","1017","0","0"
"28","5","For goods","12200.00","2020-05-20","1017","0","0"
"30","14","Bag","1900.00","2020-05-20","1017","0","0"
"31","9","Transport for bank","50.00","2020-05-20","1017","0","0"
"32","5","Nepa bill","4700.00","2020-05-20","1017","0","0"
"33","2","Refund of USB HUB","2500.00","2020-05-20","1017","0","0"
"34","12","Fuel for generator","10000.00","2020-05-20","1017","0","0"
"35","2","Refund for modem","3300.00","2020-05-21","1017","0","0"
"36","5","Director","10000.00","2020-05-21","1017","0","0"
"37","5","Transport for bank","50.00","2020-05-22","1017","0","0"
"38","5","Director","21200.00","2020-05-22","1017","0","0"
"39","5","Director","200.00","2020-05-22","1017","0","0"
"40","5","Director","20000.00","2020-05-22","1017","0","0"
"41","5","Director","2500.00","2020-05-22","1017","0","0"
"42","11","Driver Tyre","100.00","2020-05-22","1017","0","0"
"43","5","D I Developer","17000.00","2020-05-22","1017","0","0"
"44","5","For cement","2500.00","2020-05-23","1017","0","0"
"45","14","Broom","200.00","2020-05-23","1017","0","0"
"46","6","Recharge card","500.00","2020-05-23","1017","0","0"
"47","13","USB Speaker","3500.00","2020-05-23","1017","0","0"
"48","5","Director","5000.00","2020-05-23","1017","0","0"
"49","3","Drycleaner","1500.00","2020-05-25","1017","0","0"
"50","14","Super glue","50.00","2020-05-26","1017","0","0"
"51","5","David","5000.00","2020-05-26","1017","0","0"
"52","9","Madam","2000.00","2020-05-27","1017","0","0"
"54","14","Generator","500.00","2020-05-27","1017","0","0"
"55","11","Tyre","500.00","2020-05-27","1017","0","0"
"56","5","Director","11000.00","2020-05-27","1017","0","0"
"57","11","Tyre","500.00","2020-05-27","1017","0","0"
"58","2","Refund of excess transfer[toner]","80000.00","2020-05-27","1017","0","0"
"59","2","Refund of DDR3 8GB","16000.00","2020-05-28","1017","0","0"
"60","14","Bag","3200.00","2020-05-28","1017","0","0"
"61","10","Detergent","900.00","2020-05-29","1017","0","0"
"62","11","Driver","100.00","2020-05-29","1017","0","0"
"63","5","Director","100.00","2020-05-29","1017","0","0"
"64","3","Dry cleaner","4000.00","2020-05-29","1017","0","0"
"65","5","GOTV","15800.00","2020-05-29","1017","0","0"
"66","6","Recharge card","500.00","2020-05-29","1017","0","0"
"67","9","Fire wood","1000.00","2020-05-29","1017","0","0"
"68","2","Refund of software","300.00","2020-05-29","1017","0","0"
"69","5","Director","40000.00","2020-06-01","1017","0","0"
"70","5","Director","50000.00","2020-06-01","1017","0","0"
"71","5","Ctn of paper","11000.00","2020-06-01","1017","0","0"
"72","3","Dry cleaner","2000.00","2020-06-01","1017","0","0"
"73","2","Refund of cellotape","350.00","2020-06-01","1017","0","0"
"74","2","Refund of flash","3050.00","2020-06-01","1017","0","0"
"75","5","Adapter","9800.00","2020-06-01","1017","0","0"
"76","5","Mobil oil[litre]","17400.00","2020-06-02","1017","0","0"
"77","5","Bank","49000.00","2020-06-03","1017","0","0"
"78","5","Bank","12000.00","2020-06-03","1017","0","0"
"79","5","Transport for bank","100.00","2020-06-03","1017","0","0"
"80","11","Director","1000.00","2020-06-03","1017","0","0"
"81","2","Refund of HDMI splitter","7500.00","2020-06-03","1017","0","0"
"82","12","Fuel for generator","10000.00","2020-06-03","1017","0","0"
"83","11","Fuel for driver","6000.00","2020-06-03","1017","0","0"
"84","5","Godfrey","500.00","2020-06-03","1017","0","0"
"85","3","Dry cleaner","2200.00","2020-06-04","1017","0","0"
"86","14","Bag","3400.00","2020-06-04","1017","0","0"
"87","2","Refund of VGA conversion","7000.00","2020-06-05","1017","0","0"
"88","5","Garri","8000.00","2020-06-05","1017","0","0"
"89","2","Refund of VGA adapter","2000.00","2020-06-06","1017","0","0"
"90","2","Refund of bic pen","300.00","2020-06-06","1017","0","0"
"91","2","Refund of AV converter","1000.00","2020-06-06","1017","0","0"
"92","5","Gas","4300.00","2020-06-06","1017","0","0"
"93","6","Recharge card for shop phone","500.00","2020-06-06","1017","0","0"
"94","2","Refund of AV converter","5500.00","2020-06-08","1017","0","0"
"95","2","Refund of software","300.00","2020-06-08","1017","0","0"
"96","5","Director","11000.00","2020-06-08","1017","0","0"
"97","2","Refund of internet cable","1000.00","2020-06-08","1017","0","0"
"98","5","Transport for bank","50.00","2020-06-09","1017","0","0"
"99","2","Refund of USB adapter","3000.00","2020-06-09","1017","0","0"
"100","5","Director","8000.00","2020-06-09","1017","0","0"
"101","5","123 ink","7000.00","2020-06-09","1017","0","0"
"103","14","Generator oil","800.00","2020-06-10","1017","0","0"
"104","5","Drinks","6000.00","2020-06-10","1017","0","0"
"105","5","Director","20000.00","2020-06-11","1017","0","0"
"106","14","Toilet tissue","200.00","2020-06-11","1017","0","0"
"107","6","Recharge card","500.00","2020-06-11","1017","0","0"
"108","3","Dry cleaner","2800.00","2020-06-11","1017","0","0"
"109","2","Refund of cq62 laptop battery","14000.00","2020-06-11","1017","0","0"
"110","5","UMFB","7500.00","2020-06-11","1017","0","0"
"111","5","Director","16000.00","2020-06-11","1017","0","0"
"112","14","Bag","3400.00","2020-06-12","1017","0","0"
"113","2","Refund of rollertip pen","1500.00","2020-06-13","1017","0","0"
"114","5","Nepa bill","4300.00","2020-06-13","1017","0","0"
"115","5","p.o.s paper","13500.00","2020-06-13","1017","0","0"
"116","5","Photocopying of Nepa bill","50.00","2020-06-13","1017","0","0"
"117","10","Detergent","800.00","2020-06-15","1017","0","0"
"118","5","Akara","300.00","2020-06-15","1017","0","0"
"119","5","Transport for bank","50.00","2020-06-15","1017","0","0"
"120","5","Transport","100.00","2020-06-15","1017","0","0"
"121","5","Goods","14600.00","2020-06-15","1017","0","0"
"122","2","Refund of rubber band","5000.00","2020-06-15","1017","0","0"
"123","5","Director","20000.00","2020-06-16","1017","0","0"
"124","14","Morning fresh/toilet tissue","1000.00","2020-06-16","1017","0","0"
"125","2","Refund of HP paper","1300.00","2020-06-16","1017","0","0"
"126","6","Recharge card","500.00","2020-06-16","1017","0","0"
"127","2","Refund of call bell","2000.00","2020-06-16","1017","0","0"
"128","5","1 ctn of paper","5500.00","2020-06-16","1017","0","0"
"129","5","Director","4000.00","2020-06-16","1017","0","0"
"130","3","Dry cleaner","3000.00","2020-06-16","1017","0","0"
"131","5","Director","600.00","2020-06-16","1017","0","0"
"132","2","Refund of corel draw software","300.00","2020-06-17","1017","0","0"
"133","2","Refund of 130 yard sellotape","12000.00","2020-06-17","1017","0","0"
"134","5","Director[jack]","15000.00","2020-06-17","1017","0","0"
"135","9","Mr edem","14000.00","2020-06-17","1017","0","0"
"136","5","Market","2000.00","2020-06-18","1017","0","0"
"137","5","Director","105000.00","2020-06-18","1017","0","0"
"138","2","Refund of 53A toner","7000.00","2020-06-18","1017","0","0"
"139","5","Director","15000.00","2020-06-18","1017","0","0"
"140","12","fuel for Generator","10000.00","2020-06-18","1017","0","0"
"142","5","Fuel for driver","5434.00","2020-06-18","1017","0","0"
"143","5","Transport for bank","50.00","2020-06-19","1017","0","0"
"144","5","Director","70000.00","2020-06-19","1017","0","0"
"145","5","Goods","500.00","2020-06-19","1017","0","0"
"146","2","Refund of VGA conversion","7500.00","2020-06-19","1017","0","0"
"147","5","Director","14000.00","2020-06-19","1017","0","0"
"148","14","Bag","3900.00","2020-06-20","1017","0","0"
"149","3","Dry cleaner","1400.00","2020-06-22","1017","0","0"
"150","5","Director","200.00","2020-06-22","1017","0","0"
"151","5","Market","1000.00","2020-06-22","1017","0","0"
"152","5","Director","2000.00","2020-06-22","1017","0","0"
"153","2","Refund of universal modem","3500.00","2020-06-22","1017","0","0"
"154","5","Director","2000.00","2020-06-22","1017","0","0"
"155","6","Recharge card for shop phone","500.00","2020-06-23","1017","0","0"
"156","11","Tyre","500.00","2020-06-23","1017","0","0"
"157","12","Fuel for generator","10000.00","2020-06-23","1017","0","0"
"158","11","Fuel for driver","1000.00","2020-06-23","1017","0","0"
"159","10","Detergent","800.00","2020-06-24","1017","0","0"
"160","2","Refund of color toner","800.00","2020-06-24","1017","0","0"
"161","5","Director","70000.00","2020-06-24","1017","0","0"
"162","3","Dry cleaner","2000.00","2020-06-25","1017","0","0"
"163","5","Director","5000.00","2020-06-25","1017","0","0"
"164","14","Generator oil","800.00","2020-06-25","1017","0","0"
"165","5","2 Ctn of 12/10 envelope/shredder","22000.00","2020-06-25","1017","0","0"
"166","2","Refund of crimping tools","1500.00","2020-06-25","1017","0","0"
"167","14","Nylon","500.00","2020-06-25","1017","0","0"
"168","9","Madam","9500.00","2020-06-25","1017","0","0"
"169","5","Director[Drugs]","6000.00","2020-06-25","1017","0","0"
"170","14","Toilet tissue","200.00","2020-06-26","1017","0","0"
"171","5","Transport for bank","100.00","2020-06-26","1017","0","0"
"172","14","Glass cleaner","1000.00","2020-06-26","1017","0","0"
"173","6","Recharge card for shop phone","500.00","2020-06-26","1017","0","0"
"174","5","Goods","8500.00","2020-06-26","1017","0","0"
"175","5","Data","3000.00","2020-06-26","1017","0","0"
"176","5","Toilet","6000.00","2020-06-27","1017","0","0"
"177","5","Director","5000.00","2020-06-27","1017","0","0"
"178","5","Firewood","1000.00","2020-06-27","1017","0","0"
"179","5","Fire wood","500.00","2020-06-29","1017","0","0"
"180","5","Transport[Bank]","100.00","2020-06-29","1017","0","0"
"181","5","Photocopy [Nepa bill]","50.00","2020-06-29","1017","0","0"
"182","5","Director","20000.00","2020-06-29","1017","0","0"
"183","7","DSTV","16200.00","2020-06-29","1017","0","0"
"184","11","Driver[Tyre]","100.00","2020-06-29","1017","0","0"
"185","5","Director","20000.00","2020-06-29","1017","0","0"
"186","2","Refund of mercury surge protector","5500.00","2020-06-30","1017","0","0"
"187","5","Goods","4500.00","2020-06-30","1017","0","0"
"188","5","Transport[Bank]","50.00","2020-06-30","1017","0","0"
"189","5","Socket","1200.00","2020-06-30","1017","0","0"
"190","14","Bag","4800.00","2020-06-30","1017","0","0"
"191","14","Mop and bucket","4200.00","2020-06-30","1017","0","0"
"192","5","Akara","500.00","2020-07-01","1015","0","0"
"193","5","UMFB","13200.00","2020-07-01","1015","0","0"
"194","5","Transport[Bank]","50.00","2020-07-01","1015","0","0"
"195","2","Refund of power cable","1000.00","2020-07-01","1015","0","0"
"196","2","Refund of paper","4000.00","2020-07-01","1015","0","0"
"197","6","Recharge card for shop phone","500.00","2020-07-02","1015","0","0"
"198","2","Refund for A4 foil[141710]","2315.00","2020-07-02","1015","0","0"
"199","2","Refund of pci card (146697)","3000.00","2020-07-02","1015","0","0"
"200","5","Transport  [bank]","50.00","2020-07-02","1015","0","0"
"201","2","Refund for pci","2500.00","2020-07-02","1015","0","0"
"202","5","Director","10000.00","2020-07-03","1015","0","0"
"203","5","David [for recharge card]","1500.00","2020-07-03","1015","0","0"
"204","5","Director","3000.00","2020-07-03","1015","0","0"
"205","3","Dry cleaner","2500.00","2020-07-04","1015","0","0"
"206","14","Tiolet tissue","200.00","2020-07-06","1015","0","0"
"207","14","Bag","500.00","2020-07-06","1015","0","0"
"208","5","Refund of casio calculator","1000.00","2020-07-06","1015","0","0"
"209","9","Madam","6500.00","2020-07-06","1015","0","0"
"210","10","Detergent","800.00","2020-07-07","1015","0","0"
"211","3","Dry cleaner","2500.00","2020-07-07","1015","0","0"
"212","12","Fuel","19600.00","2020-07-07","1015","0","0"
"213","5","Director [for mechanic]","5500.00","2020-07-07","1015","0","0"
"214","14","Bag","1600.00","2020-07-07","1015","0","0"
"215","5","Director","50000.00","2020-07-07","1015","0","0"
"216","5","Ambassador at zone-6","5000.00","2020-07-08","1015","0","0"
"217","6","Shop recharge card","520.00","2020-07-09","1015","0","0"
"218","5","Director","500.00","2020-07-10","1015","0","0"
"219","5","Umfb","5000.00","2020-07-10","1015","0","0"
"220","5","Medicine woman","16000.00","2020-07-10","1015","0","0"
"221","9","Madam","7000.00","2020-07-10","1015","0","0"
"223","2","Refund of developer and censor  [141158]","12500.00","2020-07-10","1015","0","0"
"224","14","Bag","2000.00","2020-07-10","1015","0","0"
"225","3","Dry cleaner","2500.00","2020-07-11","1015","0","0"
"226","5","Generator","500.00","2020-07-11","1015","0","0"
"227","5","Money for diesel","800.00","2020-07-11","1015","0","0"
"228","5","Transport [bank]","50.00","2020-07-13","1015","0","0"
"229","14","Money to buy broom","200.00","2020-07-14","1015","0","0"
"230","2","Refund for censor [142841]","2500.00","2020-07-14","1015","0","0"
"231","2","Refund of Hdtv to Vga Adapter","1500.00","2020-07-14","1015","0","0"
"232","5","Director","200.00","2020-07-15","1015","0","0"
"233","6","Recharge card","520.00","2020-07-15","1015","0","0"
"234","2","Refund for HDMI cable [142856]","2200.00","2020-07-15","1015","0","0"
"235","14","Shop tissue","200.00","2020-07-15","1015","0","0"
"236","5","Director","30000.00","2020-07-15","1015","0","0"
"237","5","Director [for 5 ctns 0f full scape paper]","42000.00","2020-07-15","1015","0","0"
"238","5","Director  [money for NEPA","4500.00","2020-07-15","1015","0","0"
"239","14","Bag","4300.00","2020-07-15","1015","0","0"
"240","5","Director [FIRS]","12075.00","2020-07-16","1015","0","0"
"241","5","Transport[bank]","50.00","2020-07-16","1015","0","0"
"242","9","Madam","1500.00","2020-07-16","1015","0","0"
"243","4","Director [goods]","8000.00","2020-07-17","1015","0","0"
"244","5","Money to photocopy FIRS paper","100.00","2020-07-17","1015","0","0"
"245","5","Director [money for DI Toner]","29000.00","2020-07-17","1015","0","0"
"246","5","Ubong","1000.00","2020-07-17","1015","0","0"
"247","5","Director","40000.00","2020-07-17","1015","0","0"
"248","5","Director[for market]","500.00","2020-07-18","1015","0","0"
"249","6","Shop recharge card","500.00","2020-07-18","1015","0","0"
"250","5","M0ney for shop car spare parts[with transport]","15000.00","2020-07-18","1015","0","0"
"251","3","Dry cleaner [director]","5000.00","2020-07-18","1015","0","0"
"252","14","Shop tissue","200.00","2020-07-20","1015","0","0"
"253","5","Transport [bank]","100.00","2020-07-20","1015","0","0"
"254","5","Director [DI money]","29000.00","2020-07-20","1015","0","0"
"255","5","Director [money for Blue Gate Batteries]","91000.00","2020-07-21","1015","0","0"
"256","2","Refund of pin remover","7200.00","2020-07-21","1015","0","0"
"257","14","Bag","2000.00","2020-07-21","1015","0","0"
"258","5","Director","20000.00","2020-07-21","1015","0","0"
"259","5","Ubong  [firewood]","1500.00","2020-07-22","1015","0","0"
"260","5","Ubong [money to buy shop key]","2500.00","2020-07-22","1015","0","0"
"261","14","Ubong [money for seviette]","200.00","2020-07-23","1015","0","0"
"263","2","Refund of laptop battery OaO4 [147870]","7000.00","2020-07-23","1015","0","0"
"264","6","Shop recharge card","550.00","2020-07-23","1015","0","0"
"265","5","Director","3000.00","2020-07-23","1015","0","0"
"266","5","Ubong","1000.00","2020-07-23","1015","0","0"
"267","10","Detergent","800.00","2020-07-24","1015","0","0"
"268","11","Driver [fuel for shop car]","8000.00","2020-07-24","1015","0","0"
"269","5","Director","18000.00","2020-07-24","1015","0","0"
"270","5","Ubong [money for plumber man]","2500.00","2020-07-24","1015","0","0"
"271","5","Transport [bank]","50.00","2020-07-24","1015","0","0"
"272","5","Director","500.00","2020-07-25","1015","0","0"
"273","5","Ubong [money to buy oil for generator]","1200.00","2020-07-25","1015","0","0"
"274","5","Director [money for welder man]","1500.00","2020-07-25","0","0","0"
"275","14","Bag","1250.00","2020-07-25","1015","0","0"
"276","3","Dry cleaner","900.00","2020-07-25","1015","0","0"
"277","5","Director [customer]","1500.00","2020-07-25","1015","0","0"
"278","5","Director [money for palm wine]","700.00","2020-07-25","1015","0","0"
"279","5","Director","39500.00","2020-07-25","1015","0","0"
"280","12","Shop fuel [director]","12500.00","2020-07-27","1015","0","0"
"281","5","Driver","100.00","2020-07-27","1015","0","0"
"282","2","Refund of imation cd [135370]","500.00","2020-07-27","1015","0","0"
"283","6","Recharge card","550.00","2020-07-28","1015","0","0"
"285","2","Refund for mouse pad [135191]","400.00","2020-07-29","1015","0","0"
"286","2","Refund of HP charger","2500.00","2020-07-29","1015","0","0"
"287","14","Serviette","200.00","2020-07-30","1015","0","0"
"288","5","Director","1500.00","2020-07-30","1015","0","0"
"289","7","Ubong [money to recharge DSTV]","16200.00","2020-07-30","0","0","0"
"290","5","Director [money for D.I TONER]","100000.00","2020-07-30","1015","0","0"
"291","2","Refund for Rings  [ 135718]","1500.00","2020-07-30","1015","0","0"
"292","5","Ubong [money for pumbing rope]","500.00","2020-07-31","1015","0","0"
"293","14","Bag","4000.00","2020-07-31","1015","0","0"
"294","6","Shop recharge card","500.00","2020-08-01","1015","0","0"
"295","5","Director","28500.00","2020-08-03","1015","0","0"
"296","2","Refund of calculator","1700.00","2020-08-03","1015","0","0"
"297","6","Shop recharge card","500.00","2020-08-04","1015","0","0"
"298","5","Driver","500.00","2020-08-04","1015","0","0"
"299","5","Transport [bank]","50.00","2020-08-04","1015","0","0"
"300","5","Director [money for softwares]","10000.00","2020-08-04","1015","0","0"
"301","2","Refund of HDD [135845]","7000.00","2020-08-04","1015","0","0"
"302","9","Ubong","1000.00","2020-08-04","1015","0","0"
"303","2","Refund of refill perfect ink [135866]","2000.00","2020-08-04","1015","0","0"
"304","5","UMFB","1000.00","2020-08-05","1015","0","0"
"305","5","Transport  [Bank]","50.00","2020-08-05","1015","0","0"
"307","5","Renewal of Nissan particulars","9600.00","2020-08-05","1015","0","0"
"308","4","Godfrey [waybill]","3000.00","2020-08-05","1015","0","0"
"309","2","Ubong[refund of katun toner]","5000.00","2020-08-05","1015","0","0"
"310","9","Ubong [firewood]","2000.00","2020-08-05","1015","0","0"
"311","2","Refund for transfer","400.00","2020-08-06","1015","0","0"
"312","3","Dry cleaner","2000.00","2020-08-06","1015","0","0"
"313","5","Ubong [market]","3000.00","2020-08-06","1015","0","0"
"314","5","Director","13000.00","2020-08-06","1015","0","0"
"315","5","Director goods","18000.00","2020-08-07","1015","0","0"
"316","14","Ubong [money for serviette]","200.00","2020-08-07","1015","0","0"
"317","12","Shop fuel [ubong]","18500.00","2020-08-07","1015","0","0"
"318","14","Ubong [furnel]","300.00","2020-08-07","1015","0","0"
"320","2","Refund for UMFB man [Director]","7500.00","2020-08-07","1015","0","0"
"321","5","Director","15500.00","2020-08-07","1015","0","0"
